"name","date","followers","followers_change","rank","republican","followers_1k","description","date_label"
"berniesanders",2020-01-03,4003400,1811,3,FALSE,4003,"First traces of coronavirus, dozens infected","2020-01-03 :  First traces of coronavirus, dozens infected"
"joebiden",2020-01-03,1402821,206,5,FALSE,1403,"First traces of coronavirus, dozens infected","2020-01-03 :  First traces of coronavirus, dozens infected"
"elizabethwarren",2020-01-03,2200555,711,4,FALSE,2201,"First traces of coronavirus, dozens infected","2020-01-03 :  First traces of coronavirus, dozens infected"
"realdonaldtrump",2020-01-03,15893455,18384,2,TRUE,15893,"First traces of coronavirus, dozens infected","2020-01-03 :  First traces of coronavirus, dozens infected"
"sentedcruz",2020-01-03,423022,522,6,TRUE,423,"First traces of coronavirus, dozens infected","2020-01-03 :  First traces of coronavirus, dozens infected"
"barackobama",2020-01-04,25596083,14505,1,FALSE,25596,"First traces of coronavirus, dozens infected","2020-01-04 :  First traces of coronavirus, dozens infected"
"berniesanders",2020-01-04,4013786,10386,3,FALSE,4014,"First traces of coronavirus, dozens infected","2020-01-04 :  First traces of coronavirus, dozens infected"
"joebiden",2020-01-04,1403345,524,5,FALSE,1403,"First traces of coronavirus, dozens infected","2020-01-04 :  First traces of coronavirus, dozens infected"
"elizabethwarren",2020-01-04,2202335,1780,4,FALSE,2202,"First traces of coronavirus, dozens infected","2020-01-04 :  First traces of coronavirus, dozens infected"
"realdonaldtrump",2020-01-04,16104440,210985,2,TRUE,16104,"First traces of coronavirus, dozens infected","2020-01-04 :  First traces of coronavirus, dozens infected"
"sentedcruz",2020-01-04,423513,491,6,TRUE,424,"First traces of coronavirus, dozens infected","2020-01-04 :  First traces of coronavirus, dozens infected"
"barackobama",2020-01-05,25616518,20435,1,FALSE,25617,"First traces of coronavirus, dozens infected","2020-01-05 :  First traces of coronavirus, dozens infected"
"berniesanders",2020-01-05,4024581,10795,3,FALSE,4025,"First traces of coronavirus, dozens infected","2020-01-05 :  First traces of coronavirus, dozens infected"
"joebiden",2020-01-05,1403948,603,5,FALSE,1404,"First traces of coronavirus, dozens infected","2020-01-05 :  First traces of coronavirus, dozens infected"
"elizabethwarren",2020-01-05,2204059,1724,4,FALSE,2204,"First traces of coronavirus, dozens infected","2020-01-05 :  First traces of coronavirus, dozens infected"
"realdonaldtrump",2020-01-05,16236868,132428,2,TRUE,16237,"First traces of coronavirus, dozens infected","2020-01-05 :  First traces of coronavirus, dozens infected"
"sentedcruz",2020-01-05,423746,233,6,TRUE,424,"First traces of coronavirus, dozens infected","2020-01-05 :  First traces of coronavirus, dozens infected"
"barackobama",2020-01-06,25635051,18533,1,FALSE,25635,"First traces of coronavirus, dozens infected","2020-01-06 :  First traces of coronavirus, dozens infected"
"berniesanders",2020-01-06,4034379,9798,3,FALSE,4034,"First traces of coronavirus, dozens infected","2020-01-06 :  First traces of coronavirus, dozens infected"
"joebiden",2020-01-06,1404197,249,5,FALSE,1404,"First traces of coronavirus, dozens infected","2020-01-06 :  First traces of coronavirus, dozens infected"
"elizabethwarren",2020-01-06,2206434,2375,4,FALSE,2206,"First traces of coronavirus, dozens infected","2020-01-06 :  First traces of coronavirus, dozens infected"
"realdonaldtrump",2020-01-06,16416610,179742,2,TRUE,16417,"First traces of coronavirus, dozens infected","2020-01-06 :  First traces of coronavirus, dozens infected"
"sentedcruz",2020-01-06,424004,258,6,TRUE,424,"First traces of coronavirus, dozens infected","2020-01-06 :  First traces of coronavirus, dozens infected"
"barackobama",2020-01-07,25649007,13956,1,FALSE,25649,"First traces of coronavirus, dozens infected","2020-01-07 :  First traces of coronavirus, dozens infected"
"berniesanders",2020-01-07,4041205,6826,3,FALSE,4041,"First traces of coronavirus, dozens infected","2020-01-07 :  First traces of coronavirus, dozens infected"
"joebiden",2020-01-07,1404369,172,5,FALSE,1404,"First traces of coronavirus, dozens infected","2020-01-07 :  First traces of coronavirus, dozens infected"
"elizabethwarren",2020-01-07,2207816,1382,4,FALSE,2208,"First traces of coronavirus, dozens infected","2020-01-07 :  First traces of coronavirus, dozens infected"
"realdonaldtrump",2020-01-07,16529967,113357,2,TRUE,16530,"First traces of coronavirus, dozens infected","2020-01-07 :  First traces of coronavirus, dozens infected"
"sentedcruz",2020-01-07,424144,140,6,TRUE,424,"First traces of coronavirus, dozens infected","2020-01-07 :  First traces of coronavirus, dozens infected"
"barackobama",2020-01-08,25664503,15496,1,FALSE,25665,"First traces of coronavirus, dozens infected","2020-01-08 :  First traces of coronavirus, dozens infected"
"berniesanders",2020-01-08,4046584,5379,3,FALSE,4047,"First traces of coronavirus, dozens infected","2020-01-08 :  First traces of coronavirus, dozens infected"
